Screenshot 2024-09-20 222931.png,PushUps_Up,631.6657,202.36154,-220.92067,645.73047,190.72879,-216.80579,646.02747,188.07298,-216.88647,646.35114,185.03818,-217.0052,644.84674,191.32224,-252.60213,644.47003,189.47188,-252.65608,644.1161,187.22037,-252.6217,633.6061,159.40016,-155.54202,632.05743,164.29344,-316.13098,611.401,194.87312,-189.27538,611.4222,194.07433,-235.94933,548.37463,126.88612,-30.467827,492.74844,171.4843,-353.53214,522.7672,218.43997,124.338646,458.5473,295.59433,-360.69052,534.76636,301.9213,171.5162,459.9528,425.6245,-339.55365,560.7684,309.88498,176.19684,474.30902,448.64777,-404.2577,560.57745,310.44525,127.51368,482.22397,441.44467,-384.54443,546.62823,308.20544,153.16809,477.05984,434.16083,-335.6111,347.1017,139.22455,102.65978,317.07224,179.15344,-102.71266,243.71724,178.48338,332.81107,217.30817,201.76352,137.38734,143.0463,181.51692,599.4839,105.55429,205.15645,397.4818,119.4524,171.60918,628.9256,79.30719,194.71808,421.42612,148.9152,228.37645,615.2452,119.41567,254.61264,378.31894
Screenshot 2024-09-20 225405.png,PushUps_Up,110.77354,224.23119,-2.0145988,92.1674,207.33557,-46.75138,92.38627,204.57045,-46.834015,92.78584,201.60345,-46.871796,91.97018,207.88547,13.061804,92.08864,205.60478,13.08364,92.32723,202.98846,13.119788,108.88171,179.0149,-150.34302,107.60451,179.92897,112.97945,131.32265,222.33319,-31.450272,131.56316,222.94821,45.88282,221.6168,205.4978,-284.73767,255.45642,165.6139,315.3468,255.44705,365.64548,-333.15866,289.00967,310.83743,360.15292,234.22845,511.40558,-277.4936,265.05896,421.48093,237.29346,211.36517,528.92664,-340.9578,244.13872,432.07675,244.01274,204.32999,517.7044,-290.21646,238.3826,435.2625,184.05304,214.29773,514.8131,-256.968,246.7107,442.32834,208.1859,505.11652,260.91754,-170.0985,513.40857,225.75331,169.99915,725.8799,331.62283,-115.0105,721.16846,307.2753,212.95169,922.2599,386.91653,-14.339629,920.9289,376.98154,307.1137,978.67316,398.46576,-10.886754,928.0658,371.29834,312.79733,910.7403,470.08878,-119.245964,910.2603,461.95566,207.43172
Screenshot 2024-09-20 225606.png,PushUps_Up,149.99216,245.15845,4.5535192,132.75723,229.5702,-37.142292,133.08813,227.35893,-37.262974,133.44986,224.89018,-37.28892,132.6834,229.49992,22.277357,133.0158,227.3223,22.25728,133.32358,224.77165,22.291069,148.74506,204.22461,-134.88437,148.97075,203.10583,125.67954,169.55344,244.28096,-23.791687,171.21902,244.15057,52.76146,258.3313,230.82448,-276.477,292.26944,188.52867,321.57285,291.37906,393.47705,-326.0848,324.6369,337.02615,373.51837,276.6652,539.3527,-253.2343,310.93036,445.65677,263.88794,252.66023,556.8301,-306.37082,287.96756,439.12866,274.675,242.29797,544.79065,-256.0304,280.51013,444.66223,218.44048,254.92581,540.88684,-231.37228,289.9906,452.44553,236.51292,547.2047,289.60547,-163.83711,555.2432,258.59955,163.69266,772.11237,359.7319,-110.348564,772.241,334.6784,195.48674,996.1686,427.18213,-23.817795,983.12067,410.7052,291.06073,1034.0261,426.9381,-21.975187,1022.3718,407.2017,296.84738,955.9243,507.14957,-132.89883,941.0845,479.85214,202.6775
Screenshot 2024-09-20 225613.png,PushUps_Up,152.56041,206.04399,10.212712,135.83516,190.88847,-34.87717,136.00902,188.6902,-34.952553,136.33893,186.20686,-34.98368,135.83014,190.69133,25.701057,135.98567,188.50217,25.716482,136.24316,185.99034,25.759804,151.27641,164.6817,-142.22371,150.7283,164.35284,124.91714,172.57515,205.08606,-20.666899,173.68985,204.99191,57.819332,260.6203,191.48814,-282.0507,296.2789,143.67555,326.5816,292.11307,347.20074,-331.8738,325.67923,293.47977,390.70032,279.45953,498.84363,-262.065,311.14136,396.1184,294.60315,259.5727,523.10693,-317.09955,290.80057,392.70276,309.73605,252.30527,512.5849,-263.57425,283.54834,399.98422,253.51997,260.46075,506.71054,-239.15744,291.51932,406.8671,268.12302,547.63403,250.87367,-166.26454,557.38745,212.6151,166.1768,768.6652,319.61935,-106.63404,765.8449,287.59653,205.1852,995.26794,379.47034,-6.621866,976.8652,363.19138,302.5774,1013.03156,376.56952,-3.229326,1010.29767,363.25116,308.93668,961.0897,462.31815,-110.28731,947.63184,440.9237,211.10242
Screenshot 2024-09-20 225618.png,PushUps_Up,134.22536,223.5062,2.2209544,116.87053,207.90395,-40.887314,117.24843,205.73979,-40.980995,117.707634,203.20357,-40.998318,116.88242,207.62886,20.793295,117.27351,205.37738,20.774136,117.680984,202.66908,20.813587,133.9287,181.94646,-141.53935,133.88959,180.98674,129.39145,154.52321,222.80112,-26.945225,156.06366,222.55122,52.612717,244.29585,210.0258,-286.55377,277.85458,166.39178,330.3419,276.53983,371.88248,-336.6982,310.4387,318.985,385.92374,264.58624,517.80115,-266.87564,296.50488,427.51923,268.7958,239.61469,532.285,-325.1335,272.53592,426.0797,279.3784,229.81816,522.5328,-274.274,265.6436,430.59787,218.8317,240.75293,518.2596,-245.53102,275.2126,438.9495,239.44963,530.4519,267.2833,-171.76746,540.36145,235.40535,171.62828,757.83484,338.0872,-115.41536,759.7568,309.33432,209.47012,983.1516,404.6287,-21.385832,969.56683,386.35834,311.96548,1016.9158,403.60092,-19.158596,1010.5772,385.5915,318.31583,940.996,481.64047,-134.14746,930.059,454.82333,221.01726
Screenshot 2024-09-20 225622.png,PushUps_Up,126.358185,205.85548,9.811944,109.0672,189.61316,-32.592392,109.586365,187.4218,-32.68781,110.34366,184.88013,-32.746944,109.155975,189.59299,30.147896,109.70209,187.47598,30.168955,110.43979,184.87827,30.207285,128.26373,164.60515,-134.13461,128.20569,163.75403,141.66023,146.41138,206.0484,-20.342577,147.85138,206.13127,60.562237,239.56795,194.15308,-285.78494,273.57227,155.26147,344.20132,269.63544,350.37323,-337.317,302.2796,303.52344,397.50516,254.25595,492.81003,-273.4441,288.74728,409.4915,275.23145,220.73297,502.17508,-334.10025,267.24957,402.4029,286.58606,215.10579,492.3301,-285.69745,259.53284,414.5203,225.40045,227.67723,490.84976,-253.44653,268.58514,421.37457,245.3059,524.6424,248.80037,-175.86594,533.70276,221.02284,175.82048,749.5287,319.94305,-128.81143,750.6304,297.55615,210.12352,975.0545,384.72156,-34.224117,964.0048,369.01443,303.2855,991.5629,381.82837,-32.385857,990.2551,368.83008,308.30386,933.96313,464.3243,-151.92242,926.4619,446.65466,201.73058
Screenshot 2024-09-20 225627.png,PushUps_Up,172.58293,227.48204,13.680672,154.17589,211.40437,-26.509094,154.46155,208.97371,-26.600395,154.93256,206.18382,-26.617517,154.20349,211.68524,30.22917,154.47693,209.54605,30.213306,154.85008,206.9336,30.24218,170.72063,185.5252,-117.17235,170.88347,184.8725,131.2299,191.27165,226.17291,-12.078034,192.97493,226.57639,60.93821,276.71463,214.15466,-253.65996,312.0682,174.69386,318.79712,308.94217,371.62762,-291.54633,339.06573,325.38467,363.61722,298.69138,514.1543,-214.50716,329.43164,439.94833,260.90353,264.34378,525.0052,-265.00598,303.02444,440.70914,271.7604,258.67212,513.9656,-217.30959,295.3806,450.51028,214.7801,271.91806,511.09653,-194.08002,304.95807,453.37912,233.26094,563.4318,268.1116,-161.14534,570.9366,240.55606,161.0099,786.6843,343.37106,-113.35803,786.5243,314.60892,185.62923,1014.1231,403.75348,-30.413046,1000.52563,387.4352,279.19012,1052.5435,404.29117,-29.19736,1040.5739,385.7715,284.8647,974.6017,485.0965,-145.07251,959.813,457.66925,185.06866
Screenshot 2024-09-20 225631.png,PushUps_Up,133.35449,209.54324,6.2542543,116.11231,193.5826,-38.34536,116.38955,191.10124,-38.42907,116.89671,188.5517,-38.467503,115.99904,193.83965,22.098412,116.180504,191.59155,22.110123,116.5257,189.09929,22.147108,134.01375,166.9525,-144.77762,133.05602,167.15585,120.98769,155.17696,209.25063,-24.534563,156.15506,209.79282,53.581387,245.95079,194.79915,-283.85986,282.08997,150.53769,321.00476,280.30423,358.0405,-326.68887,314.018,305.71475,364.32468,264.23032,508.63287,-257.6407,290.43884,417.05774,255.2702,242.9178,530.6329,-315.6179,273.3388,415.03024,267.1855,235.26987,522.28436,-261.94278,265.97055,425.43884,209.13014,243.97113,516.50336,-235.2093,273.36896,433.19354,227.37878,530.58136,248.99313,-168.83708,540.3226,215.84618,168.73244,754.59235,318.67383,-109.906395,755.1063,292.65253,208.68484,981.0145,384.9644,-11.072903,968.8633,368.90134,304.14883,996.9997,380.0352,-8.16035,995.01245,367.47995,310.26517,941.56995,467.3289,-119.72755,933.43036,448.57196,208.47984
Screenshot 2024-09-20 225634.png,PushUps_Up,146.75157,221.68602,10.750208,127.977005,205.35567,-31.88577,128.4793,202.98082,-31.990074,129.10657,200.22108,-32.013496,127.8274,205.30525,25.947807,128.17793,203.00293,25.951374,128.58752,200.18674,26.00683,145.7835,179.79836,-130.71486,145.41493,178.39508,123.11791,166.22646,220.5727,-17.477375,167.65227,220.66176,57.165596,251.23488,207.76123,-271.28827,288.70004,166.19064,319.68948,283.27432,365.97928,-309.3394,316.06354,311.10703,373.46783,270.82782,514.40924,-222.74153,302.73355,429.1603,283.7795,248.83917,538.68726,-272.94012,280.63675,429.73712,298.73526,238.12852,530.79803,-220.33699,273.5065,435.3345,243.73885,247.74484,525.393,-199.61626,276.16638,451.43466,257.69205,538.7421,262.19046,-161.2299,547.6059,231.87033,161.0743,764.75507,338.3494,-99.86462,765.0493,311.17264,200.46028,990.6444,399.97073,-7.800517,972.38403,380.45663,300.95486,1026.3774,399.7971,-4.9363003,1014.50323,380.63254,307.61575,950.2036,479.6069,-113.056564,932.4008,448.46866,215.39104
Screenshot 2024-09-20 225639.png,PushUps_Up,146.32095,221.98363,12.546,128.34769,205.94826,-29.433538,128.67805,203.6293,-29.515696,129.20576,200.94737,-29.536943,128.27898,206.12776,28.05683,128.53102,204.01761,28.04363,128.9125,201.42079,28.080976,145.10841,180.75597,-124.2312,145.13014,179.49414,128.23251,165.1032,220.91408,-14.068213,166.62529,221.17693,60.131294,251.8336,208.46594,-263.2961,288.52298,164.48912,324.66937,281.29773,366.79083,-295.4259,317.7255,310.43982,380.63754,273.8558,505.86203,-201.38728,309.75665,415.3473,279.26202,240.83667,516.8632,-248.90329,283.59073,414.39368,291.08652,235.00285,506.0442,-202.86794,278.1202,417.97757,237.31302,248.09492,503.46674,-180.62045,286.68283,422.90466,253.12778,538.30597,264.35352,-162.47047,548.43854,232.97226,162.32686,762.5147,337.10446,-105.81963,765.12744,309.5194,194.57234,989.8158,401.38525,-16.495253,975.48425,384.10748,288.3108,1022.819,399.59946,-14.201271,1017.44226,383.43378,293.90723,948.2621,477.1226,-122.72405,935.95184,452.82953,199.99432
